黑龙江省北大荒建三江知青基金会,,47.25651,132.63704,黑龙江省佳木斯市富锦市胜利大街,230882,中国,黑龙江省,佳木斯市,富锦市,胜利大街
香坊区教育发展基金会,,45.72959,126.68798,黑龙江省哈尔滨市香坊区香茗街,230110,中国,黑龙江省,哈尔滨市,香坊区,香茗街
南岗区残疾人福利基金会,,45.75751,126.67489,黑龙江省哈尔滨市南岗区宣庆街,230103,中国,黑龙江省,哈尔滨市,南岗区,宣庆街
香坊区残疾人福利基金会,横道街14号,45.72446,126.68596,黑龙江省哈尔滨市香坊区香坊大街横道街14号,230110,中国,黑龙江省,哈尔滨市,香坊区,香坊大街
道里区残疾人福利基金会,建化街3号,45.75585,126.60699,黑龙江省哈尔滨市道里区建化街3号,230102,中国,黑龙江省,哈尔滨市,道里区,建化街
中华古典文化基金会黑龙江工作委员会,赣水路12号,45.73949,126.67228,黑龙江省哈尔滨市南岗区民航路赣水路12号,230103,中国,黑龙江省,哈尔滨市,南岗区,民航路
中国孔子基金会交流与合作委员会,衡山路54号,45.7447,126.67846,黑龙江省哈尔滨市南岗区衡山路54号,230103,中国,黑龙江省,哈尔滨市,南岗区,衡山路
老年健康联盟网爱心慈善基金会哈尔滨分会,建国北六道街54号,45.75116,126.59866,黑龙江省哈尔滨市道里区建国北六道街54号,230102,中国,黑龙江省,哈尔滨市,道里区,建国北六道街
仁皇健康工程基金会,长江路28号,45.74583,126.66993,黑龙江省哈尔滨市南岗区长江路28号,230103,中国,黑龙江省,哈尔滨市,南岗区,长江路
吉林市残疾人福利基金会,,43.84573,126.58069,吉林省吉林市船营区青年路,220204,中国,吉林省,吉林市,船营区,青年路
大庆市老年福利基金会,政西街1号,46.59139,125.10323,黑龙江省大庆市萨尔图区人民西路政西街1号,230602,中国,黑龙江省,大庆市,萨尔图区,人民西路
长春市残疾人福利基金会,,43.88234,125.34385,吉林省长春市南关区大经路,220102,中国,吉林省,长春市,南关区,大经路
吉林省妇女儿童福利基金会,新发路576号,43.89472,125.32424,吉林省长春市朝阳区人民大街新发路576号,220104,中国,吉林省,长春市,朝阳区,人民大街
吉林省教育基金会,人民大街6795号,43.84781,125.32493,吉林省长春市朝阳区人民大街6795号,220104,中国,吉林省,长春市,朝阳区,人民大街
吉林省青少年发展基金会,新发路576号,43.89483,125.3235,吉林省长春市朝阳区人民大街新发路576号,220104,中国,吉林省,长春市,朝阳区,人民大街
吉林省残疾人福利基金会,文化街99号,43.89495,125.32147,吉林省长春市朝阳区文化街99号,220104,中国,吉林省,长春市,朝阳区,文化街
吉林省人口福利基金会,亚泰大街159号,43.90622,125.33774,吉林省长春市宽城区长江路亚泰大街159号,220103,中国,吉林省,长春市,宽城区,长江路
吉林大学教育基金会,前进大街2699号,43.82441,125.27995,吉林省长春市朝阳区致远街前进大街2699号,220104,中国,吉林省,长春市,朝阳区,致远街
吉林省志愿服务发展基金会,解放大路2276号,43.87789,125.32185,吉林省长春市朝阳区解放大路2276号,220104,中国,吉林省,长春市,朝阳区,解放大路
吉林大学唐敖庆教育基金会,前进大街2699号,43.82441,125.27995,吉林省长春市朝阳区致远街前进大街2699号,220104,中国,吉林省,长春市,朝阳区,致远街
长春市绿园区养老服务基金会,皓月大路3999号,43.88947,125.24453,吉林省长春市绿园区皓月大路3999号,220106,中国,吉林省,长春市,绿园区,皓月大路
东北师范大学教育基金会,人民大街5268号,43.86262,125.32721,吉林省长春市南关区人民大街5268号,220102,中国,吉林省,长春市,南关区,人民大街
中华茂祥爱心基金会,桦甸街697号,43.84518,125.27312,吉林省长春市朝阳区桦甸街697号,220104,中国,吉林省,长春市,朝阳区,桦甸街
辽源市老龄事业发展基金会,,42.90868,125.12382,吉林省辽源市龙山区西宁大路,220402,中国,吉林省,辽源市,龙山区,西宁大路
中国扶贫基金会新宾满族自治县农户自立服务中心,,41.7267,125.03617,辽宁省抚顺市新宾满族自治县兴京街,210422,中国,辽宁省,抚顺市,新宾满族自治县,兴京街
达斡尔族教育基金会,纳文东大街15号,48.48341,124.52354,内蒙古自治区呼伦贝尔市莫力达瓦达斡尔族自治旗纳文东大街15号,150722,中国,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗,纳文东大街
吉林省惠慈健康发展基金会,,43.50429,124.81905,吉林省四平市公主岭市正阳东街,220381,中国,吉林省,四平市,公主岭市,正阳东街
中国扶贫基金会清原满族自治县农户自立服务中心,兴隆路43号,42.09859,124.92699,辽宁省抚顺市清原满族自治县兴隆路43号,210423,中国,辽宁省,抚顺市,清原满族自治县,兴隆路
四平市晚情老龄事业发展基金会,,43.163,124.34965,吉林省四平市铁西区南迎宾街,220302,中国,吉林省,四平市,铁西区,南迎宾街
吉林师范大学助学基金会,,43.15324,124.3499,吉林省四平市铁西区海丰大街,220302,中国,吉林省,四平市,铁西区,海丰大街
中国扶贫基金会昌图县农户自立服务中心,站前大街38号,42.7899,124.11312,辽宁省铁岭市昌图县站前大街38号,211224,中国,辽宁省,铁岭市,昌图县,站前大街
辽宁石油化工大学教育发展基金会,丹东路西段1号,41.85405,123.79036,辽宁省抚顺市望花区丹东路西段1号,210404,中国,辽宁省,抚顺市,望花区,丹东路
中国社会福利基金会爱基金爱心志愿者创业助学俱乐部,,41.30532,123.76182,辽宁省本溪市明山区解放北路,210504,中国,辽宁省,本溪市,明山区,解放北路
丹东市双灵慈善基金会,,40.20487,124.25946,辽宁省丹东市元宝区304国道,210602,中国,辽宁省,丹东市,元宝区,304国道
中国扶贫基金会康平县农户自立服务中心,,42.74326,123.35822,辽宁省沈阳市康平县政法路,210123,中国,辽宁省,沈阳市,康平县,政法路
沈阳市残疾人福利基金会,皇姑区北陵大街5号,41.81879,123.42977,辽宁省沈阳市沈河区昆山东路皇姑区北陵大街5号,210103,中国,辽宁省,沈阳市,沈河区,昆山东路
辽宁光达优抚爱心基金会,太原南街222号,41.78181,123.39299,辽宁省沈阳市和平区太原南街222号,210102,中国,辽宁省,沈阳市,和平区,太原南街
辽宁省青少年发展基金会,北五经街21号,41.79346,123.42121,辽宁省沈阳市和平区北五经街21号,210102,中国,辽宁省,沈阳市,和平区,北五经街
沈阳市教育基金会,十一纬路云集东巷32号,41.78734,123.42061,辽宁省沈阳市和平区南四经街云集南一巷十一纬路云集东巷32号,210102,中国,辽宁省,沈阳市,和平区,南四经街云集南一巷
沈阳市教育基金会,,41.80699,123.43403,辽宁省沈阳市沈河区惠工街,210103,中国,辽宁省,沈阳市,沈河区,惠工街
沈阳市教育基金会,小东路231号,41.80441,123.47637,辽宁省沈阳市大东区津桥路小东路231号,210104,中国,辽宁省,沈阳市,大东区,津桥路
辽宁省公益基金会,南五马路228号,41.77851,123.40839,辽宁省沈阳市和平区南五马路228号,210102,中国,辽宁省,沈阳市,和平区,南五马路
辽宁省闽商公益基金会,,41.81455,123.43305,辽宁省沈阳市沈河区北站路,210103,中国,辽宁省,沈阳市,沈河区,北站路
中国老龄事业发展基金会(广宜街),,41.80719,123.44959,辽宁省沈阳市沈河区广宜街,210103,中国,辽宁省,沈阳市,沈河区,广宜街
中国老龄事业发展基金会(洮昌街),东北大马路96号,41.81876,123.47211,辽宁省沈阳市大东区洮昌街东北大马路96号,210104,中国,辽宁省,沈阳市,大东区,洮昌街
沈阳市青少年发展基金会,保安寺街26号,41.77311,123.42143,辽宁省沈阳市和平区文化路保安寺街26号,210102,中国,辽宁省,沈阳市,和平区,文化路
沈阳市职工爱心慈善基金会,,41.80037,123.43736,辽宁省沈阳市沈河区中山路,210103,中国,辽宁省,沈阳市,沈河区,中山路
香港圣约翰爵士慈善基金会办事处,高科路30号,41.70272,123.44293,辽宁省沈阳市浑南区高科路30号,210112,中国,辽宁省,沈阳市,浑南区,高科路
中国老龄事业发展基金会夕阳红为老服务站,,41.67144,123.33277,辽宁省沈阳市苏家屯区葵松二路,210111,中国,辽宁省,沈阳市,苏家屯区,葵松二路
沈阳市职工爱心慈善基金会苏家屯工作站,牡丹街63号,41.66367,123.35307,辽宁省沈阳市苏家屯区牡丹街63号,210111,中国,辽宁省,沈阳市,苏家屯区,牡丹街
辽阳市东泽医疗救助基金会辽阳市文圣区慈善总会救助中心,新华路80号,41.28155,123.18877,辽宁省辽阳市白塔区新华路80号,211002,中国,辽宁省,辽阳市,白塔区,新华路
中国儿童少年基金会,陶官街55号,41.10732,122.96637,辽宁省鞍山市铁西区陶官街55号,210303,中国,辽宁省,鞍山市,铁西区,陶官街
中国儿童少年基金会,,41.10282,122.96731,辽宁省鞍山市铁西区群建街,210303,中国,辽宁省,鞍山市,铁西区,群建街
中国老龄事业发展基金会,山南街115号,41.09104,122.97987,辽宁省鞍山市铁东区山南街115号,210302,中国,辽宁省,鞍山市,铁东区,山南街
鞍钢残疾人福利基金会,光明街7号,41.13414,123.0084,辽宁省鞍山市立山区光明街7号,210304,中国,辽宁省,鞍山市,立山区,光明街
鞍山市教育基金会办公室(在水一方小区南),,41.09902,122.99969,辽宁省鞍山市铁东区园林大道,210302,中国,辽宁省,鞍山市,铁东区,园林大道
乌兰浩特市城乡困难群众大病医疗救助基金会,,46.07354,122.09363,内蒙古自治区兴安盟乌兰浩特市育才南路,152201,中国,内蒙古自治区,兴安盟,乌兰浩特市,育才南路
威海市恒盛文化艺术发展基金会,,37.51699,122.12363,山东省威海市环翠区菊花顶路,371002,中国,山东省,威海市,环翠区,菊花顶路
世界眼科基金会威海分会,文化东路13号,37.51054,122.11861,山东省威海市环翠区文化东路13号,371002,中国,山东省,威海市,环翠区,文化东路
侨乡北竹岛社区扶贫救助基金会,金线顶路1号,37.48825,122.13767,山东省威海市环翠区金线顶路1号,371002,中国,山东省,威海市,环翠区,金线顶路
荣成市大鱼岛福利基金会,,36.86883,122.42004,山东省威海市荣成市渔岛路,371082,中国,山东省,威海市,荣成市,渔岛路
中国扶贫基金会库伦旗农户自立服务社,,42.72905,121.77631,内蒙古自治区通辽市库伦旗幸福路,150524,中国,内蒙古自治区,通辽市,库伦旗,幸福路
北镇市大河慈善基金会,广宁东路12号,41.5944,121.79829,辽宁省锦州市北镇市文家胡同广宁东路12号,210782,中国,辽宁省,锦州市,北镇市,文家胡同
北镇市德营慈善基金会,广宁东路12号,41.5944,121.79829,辽宁省锦州市北镇市文家胡同广宁东路12号,210782,中国,辽宁省,锦州市,北镇市,文家胡同
辽宁省大连海事大学教育发展基金会,,38.868,121.53423,辽宁省大连市甘井子区凌南路,210211,中国,辽宁省,大连市,甘井子区,凌南路
大连市青少年发展基金会,枫林街7号,38.91313,121.65103,辽宁省大连市中山区南山街枫林街7号,210202,中国,辽宁省,大连市,中山区,南山街
大连慈善基金会,鲁迅路2号,38.92136,121.64597,辽宁省大连市中山区鲁迅路2号,210202,中国,辽宁省,大连市,中山区,鲁迅路
大连市见义勇为基金会,黄河路566号,38.91008,121.59642,辽宁省大连市沙河口区民政街黄河路566号,210204,中国,辽宁省,大连市,沙河口区,民政街
大连市青少年发展基金会希望工程捐助点,,38.91432,121.62679,辽宁省大连市西岗区锦华街,210203,中国,辽宁省,大连市,西岗区,锦华街
中国初级卫生保健基金会大连工作站,,38.88608,121.68614,辽宁省大连市中山区虎滩路,210202,中国,辽宁省,大连市,中山区,虎滩路
辽宁省大连海事大学博联助学基金会,,38.868,121.53423,辽宁省大连市甘井子区凌南路,210211,中国,辽宁省,大连市,甘井子区,凌南路
中国宋庆龄基金会中华少年杂志社大连工作站,,38.91441,121.58023,辽宁省大连市沙河口区光华街,210204,中国,辽宁省,大连市,沙河口区,光华街
中国宋庆龄基金会环球慈善杂志社大连工作站,,38.91441,121.58023,辽宁省大连市沙河口区光华街,210204,中国,辽宁省,大连市,沙河口区,光华街
中华国际医学交流基金会大连办公室,,38.88608,121.68614,辽宁省大连市中山区虎滩路,210202,中国,辽宁省,大连市,中山区,虎滩路
中国健康促进基金会山东分会,,37.47438,121.43695,山东省烟台市莱山区桐林路,370613,中国,山东省,烟台市,莱山区,桐林路
烟台市见义勇为基金会,通世路1号,37.52638,121.38388,山东省烟台市芝罘区环翠路通世路1号,370602,中国,山东省,烟台市,芝罘区,环翠路
海门市见义勇为基金会王浩工作站,浩盛路200号,32.05732,121.32713,江苏省南通市海门市浩盛路200号,320684,中国,江苏省,南通市,海门市,浩盛路
启东市慈善基金会,花园中路849号,31.8138,121.66839,江苏省南通市启东市公园中路花园中路849号,320681,中国,江苏省,南通市,启东市,公园中路
上海市老年基金会(崇明县)分会,新崇中路110号,31.62226,121.39787,上海市崇明县新崇中路110号,310230,中国,上海市,上海市,崇明县,新崇中路
孙氏基金会,人民中路720号,31.8115,121.6553,江苏省南通市启东市人民中路720号,320681,中国,江苏省,南通市,启东市,人民中路
上海市老年基金会(虹口区分会),,31.27581,121.4764,上海市虹口区广中路,310109,中国,上海市,上海市,虹口区,广中路
上海同济高延耀环保科技发展基金会,,31.28461,121.49685,上海市杨浦区密云路,310110,中国,上海市,上海市,杨浦区,密云路
上海吴孟超医学科技基金会,,31.29697,121.50858,上海市杨浦区国达路,310110,中国,上海市,上海市,杨浦区,国达路
上海儿童世界基金会,,31.28368,121.38393,上海市普陀区古浪路,310107,中国,上海市,上海市,普陀区,古浪路
中国留学人才发展基金会上海中心,同济路999号,31.40468,121.47858,上海市宝山区友谊路同济路999号,310113,中国,上海市,上海市,宝山区,友谊路
上海吴孟超医学科技基金会,长海路225号,31.30994,121.52912,上海市杨浦区长海路225号,310110,中国,上海市,上海市,杨浦区,长海路
上海市慈善基金会,,31.28385,121.33008,上海市嘉定区众仁路,310114,中国,上海市,上海市,嘉定区,众仁路
上海宝山科技联合开发基金会,淞宝路50号,31.37896,121.49861,上海市宝山区淞宝路50号,310113,中国,上海市,上海市,宝山区,淞宝路
中国电影基金会上海办事处,马吉路2号,31.34813,121.58785,上海市浦东新区富特西一路马吉路2号,310115,中国,上海市,上海市,浦东新区,富特西一路
上海市爱心帮困基金会杨浦区青少年指导中心,海州路268号,31.26953,121.55072,上海市杨浦区海州路268号,310110,中国,上海市,上海市,杨浦区,海州路
中华福祉基金会有限公司,永和路150号,31.28845,121.44395,上海市闸北区万荣路永和路150号,310108,中国,上海市,上海市,闸北区,万荣路
环球公益基金会中老年福利网(宝山运营中心),盘古路386号,31.40802,121.48308,上海市宝山区盘古路386号,310113,中国,上海市,上海市,宝山区,盘古路
上海工业技术发展基金会(机关)上海广宇技术发展公司,阜新路49号,31.27684,121.5057,上海市杨浦区阜新路49号,310110,中国,上海市,上海市,杨浦区,阜新路
慈慧公益基金会,,31.29931,121.48693,上海市虹口区逸仙路,310109,中国,上海市,上海市,虹口区,逸仙路
富大帮困助学基金会,保定路437号,31.25996,121.50749,上海市虹口区东余杭路保定路437号,310109,中国,上海市,上海市,虹口区,东余杭路
EFG创业基金会,,31.29624,121.51979,上海市杨浦区黄兴路,310110,中国,上海市,上海市,杨浦区,黄兴路
中国儿童少年基金会零钱慈善募捐箱管理办公室,广中西路757号,31.27766,121.43991,上海市闸北区彭越浦路广中西路757号,310108,中国,上海市,上海市,闸北区,彭越浦路
团中央-中国青少年发展基金会展望计划办公室,眉州路272号,31.26079,121.53615,上海市杨浦区沈阳路眉州路272号,310110,中国,上海市,上海市,杨浦区,沈阳路
世界自然基金会(瑞士)北京代表处上海项目办公室,中山北一路121号,31.27257,121.47605,上海市虹口区花园路中山北一路121号,310109,中国,上海市,上海市,虹口区,花园路
中国宋庆龄基金会事业发展中心点亮心灵计划上海办公室,中山北二路703号,31.28419,121.51313,上海市杨浦区中山北二路703号,310110,中国,上海市,上海市,杨浦区,中山北二路
上海市慈善基金会,,31.2098,121.48248,上海市黄浦区制造局路,310101,中国,上海市,上海市,黄浦区,制造局路
上海文化发展基金会,番禺路396号,31.20359,121.43015,上海市长宁区番禺路396号,310105,中国,上海市,上海市,长宁区,番禺路
上海市爱心帮教基金会,江宁路958-2号,31.24142,121.44626,上海市静安区江宁路958-2号,310106,中国,上海市,上海市,静安区,江宁路
上海公益事业发展基金会,普育西路105号,31.21018,121.49437,上海市黄浦区普育西路105号,310101,中国,上海市,上海市,黄浦区,普育西路
上海市华东师范大学教育发展基金会,,31.22846,121.40817,上海市普陀区中山北路,310107,中国,上海市,上海市,普陀区,中山北路
上海七弦古琴文化发展基金会,普育西路105号,31.21091,121.49522,上海市黄浦区普育东路普育西路105号,310101,中国,上海市,上海市,黄浦区,普育东路
上海市慈善基金会,威海路511号,31.2267,121.46163,上海市静安区威海路511号,310106,中国,上海市,上海市,静安区,威海路
上海市民帮困互助基金会,汉口路195号,31.2357,121.48664,上海市黄浦区江西中路汉口路195号,310101,中国,上海市,上海市,黄浦区,江西中路
上海宋庆龄基金会,陕西北路375号,31.22908,121.45319,上海市静安区陕西北路375号,310106,中国,上海市,上海市,静安区,陕西北路
上海市爱心帮教基金会,,31.20336,121.44586,上海市徐汇区衡山路,310104,中国,上海市,上海市,徐汇区,衡山路
上海七弦古琴文化发展基金会,,31.20498,121.43991,上海市徐汇区淮海中路,310104,中国,上海市,上海市,徐汇区,淮海中路
上海市发展交响乐事业基金会,湖南路105号,31.2083,121.44159,上海市徐汇区湖南路105号,310104,中国,上海市,上海市,徐汇区,湖南路
上海市慈善基金会(丁香路),杨高中路2797号,31.22893,121.55577,上海市浦东新区杨高中路2797号,310115,中国,上海市,上海市,浦东新区,杨高中路
中国韬奋基金会,陕西南路186弄1-20号,31.21996,121.45728,上海市徐汇区长乐路陕西南路186弄1-20号,310104,中国,上海市,上海市,徐汇区,长乐路
上海市青少年发展基金会,,31.22111,121.45809,上海市黄浦区进贤路,310101,中国,上海市,上海市,黄浦区,进贤路
上海唐君远教育基金会,新乐路42号,31.21844,121.45612,上海市徐汇区新乐路42号,310104,中国,上海市,上海市,徐汇区,新乐路
上海市九段沙湿地自然保护基金会,博山东路383号,31.25235,121.56742,上海市浦东新区博山东路383号,310115,中国,上海市,上海市,浦东新区,博山东路
上海市老年基金会,龙华东路886号,31.19355,121.47304,上海市黄浦区龙华东路886号,310101,中国,上海市,上海市,黄浦区,龙华东路
上海市老年基金会(卢湾区分会),丽园路466号,31.20803,121.48255,上海市黄浦区丽园路466号,310101,中国,上海市,上海市,黄浦区,丽园路
上海发展研究基金会,龙华东路886号,31.19283,121.47253,上海市黄浦区龙华东路886号,310101,中国,上海市,上海市,黄浦区,龙华东路
上海夏征农民族文化教育发展基金会,辽宁路46号,31.25677,121.49188,上海市虹口区辽宁路46号,310109,中国,上海市,上海市,虹口区,辽宁路
上海市应昌期围棋教育基金会,天津路180号,31.23842,121.48288,上海市黄浦区天津路180号,310101,中国,上海市,上海市,黄浦区,天津路
上海民生公益基金会,福州路666号,31.23273,121.47765,上海市黄浦区福州路666号,310101,中国,上海市,上海市,黄浦区,福州路
上海市教育发展基金会,陕西北路80号,31.22516,121.45713,上海市静安区陕西北路80号,310106,中国,上海市,上海市,静安区,陕西北路
上海觉群文教基金会,江宁路1046-1112号,31.24214,121.44658,上海市普陀区昌化路江宁路1046-1112号,310107,中国,上海市,上海市,普陀区,昌化路
上海联劝公益基金会,普育西路105号,31.21016,121.49497,上海市黄浦区国货路普育西路105号,310101,中国,上海市,上海市,黄浦区,国货路
上海华信公益基金会,,31.20951,121.43738,上海市徐汇区高邮路,310104,中国,上海市,上海市,徐汇区,高邮路
上海市青年创业就业基金会,汉中路188号,31.24207,121.45759,上海市闸北区恒丰路汉中路188号,310108,中国,上海市,上海市,闸北区,恒丰路
上海市志愿服务公益基金会,淮海西路55号,31.20149,121.43438,上海市徐汇区淮海西路55号,310104,中国,上海市,上海市,徐汇区,淮海西路
上海市慈善基金会(法华镇路),法华镇路17号,31.20245,121.43416,上海市长宁区法华镇路17号,310105,中国,上海市,上海市,长宁区,法华镇路
上海市自然而然中医药发展基金会,,31.18183,121.56396,上海市浦东新区莲安东路,310115,中国,上海市,上海市,浦东新区,莲安东路
香港·杏范教育基金会,虹桥路2216号,31.19278,121.37914,上海市长宁区虹桥路2216号,310105,中国,上海市,上海市,长宁区,虹桥路
上海对外经贸大学教育发展基金会,古北路620号,31.20722,121.39975,上海市长宁区古北路620号,310105,中国,上海市,上海市,长宁区,古北路
上海宋庆龄基金会,五原路314号,31.21208,121.44278,上海市徐汇区五原路314号,310104,中国,上海市,上海市,徐汇区,五原路
上海中华职业教育温暖工程基金会,雁荡路40号,31.21947,121.46964,上海市黄浦区雁荡路40号,310101,中国,上海市,上海市,黄浦区,雁荡路
上海曙光中医药研究发展基金会,,31.19427,121.60695,上海市浦东新区蔡伦路,310115,中国,上海市,上海市,浦东新区,蔡伦路
上海市安济医疗救助基金会,德平路289号,31.24659,121.56491,上海市浦东新区德平路289号,310115,中国,上海市,上海市,浦东新区,德平路
上海市慈善基金会(陕西北路),陕西北路66号,31.2249,121.45683,上海市静安区陕西北路66号,310106,中国,上海市,上海市,静安区,陕西北路
上海现代服务业发展研究基金会,东园路36号,31.24126,121.49902,上海市浦东新区丰和路东园路36号,310115,中国,上海市,上海市,浦东新区,丰和路
上海市儿童健康基金会,宝昌路265号,31.25761,121.47734,上海市闸北区宝山路宝昌路265号,310108,中国,上海市,上海市,闸北区,宝山路
上海慈光皮肤健康基金会,东方路877号,31.22451,121.52797,上海市浦东新区东方路877号,310115,中国,上海市,上海市,浦东新区,东方路
上海真爱梦想公益基金会,,31.20249,121.58094,上海市浦东新区祖冲之路,310115,中国,上海市,上海市,浦东新区,祖冲之路
上海水资源保护基金会,瑞金南路500号,31.19863,121.46769,上海市徐汇区瑞金南路500号,310104,中国,上海市,上海市,徐汇区,瑞金南路
上海市科普基金会,,31.1874,121.59185,上海市浦东新区张衡路,310115,中国,上海市,上海市,浦东新区,张衡路
上海巴斯德健康研究基金会,瑞金南路1号,31.20447,121.46759,上海市黄浦区徐家汇路瑞金南路1号,310101,中国,上海市,上海市,黄浦区,徐家汇路
上海唐氏教育基金会,,31.22204,121.45765,上海市黄浦区巨鹿路,310101,中国,上海市,上海市,黄浦区,巨鹿路
上海发展侨务事业基金会,延安西路129号,31.21974,121.44377,上海市静安区延安西路129号,310106,中国,上海市,上海市,静安区,延安西路
上海文学发展基金会,,31.22159,121.45638,上海市静安区巨鹿路,310106,中国,上海市,上海市,静安区,巨鹿路
上海医学创新发展基金会,,31.20277,121.45843,上海市徐汇区襄阳南路,310104,中国,上海市,上海市,徐汇区,襄阳南路
上海市老年基金会(长宁路),长宁路1188弄4号,31.21818,121.41461,上海市长宁区长宁路1188弄4号,310105,中国,上海市,上海市,长宁区,长宁路
上海市慈善基金会(浦东中心),峨山路613号,31.21771,121.53043,上海市浦东新区东方路峨山路613号,310115,中国,上海市,上海市,浦东新区,东方路
上海市青少年发展基金会,东湖路17号,31.21647,121.45322,上海市徐汇区东湖路17号,310104,中国,上海市,上海市,徐汇区,东湖路
上海市儿童基金会,天钥桥路30号,31.193,121.44054,上海市徐汇区肇嘉浜路天钥桥路30号,310104,中国,上海市,上海市,徐汇区,肇嘉浜路
上海职工教育基金会,西藏中路120号,31.23053,121.47777,上海市黄浦区西藏中路120号,310101,中国,上海市,上海市,黄浦区,西藏中路
上海市新产品基金会,威海路511号,31.22648,121.46169,上海市静安区威海路511号,310106,中国,上海市,上海市,静安区,威海路
上海市老年基金会(定西路),定西路1310弄6号,31.2161,121.42292,上海市长宁区定西路1310弄6号,310105,中国,上海市,上海市,长宁区,定西路
上海美丽心灵公益基金会,普育西路105号,31.21114,121.49551,上海市黄浦区普育东路普育西路105号,310101,中国,上海市,上海市,黄浦区,普育东路
上海市慈善基金会(长宁区分会),天山路641号,31.2123,121.39444,上海市长宁区新渔东路天山路641号,310105,中国,上海市,上海市,长宁区,新渔东路
上海市卢湾区教育基金会,,31.21318,121.47615,上海市黄浦区马当路,310101,中国,上海市,上海市,黄浦区,马当路
上海市慈善基金会筹物工作部,杨高中路2795-7号,31.22929,121.55633,上海市浦东新区杨高中路2795-7号,310115,中国,上海市,上海市,浦东新区,杨高中路
上海市慈善基金会华衍基金,,31.21393,121.41968,上海市长宁区凯旋路,310105,中国,上海市,上海市,长宁区,凯旋路
上海市甬协会公益基金会,南汇路69号,31.22992,121.45678,上海市静安区南汇路69号,310106,中国,上海市,上海市,静安区,南汇路
上海市老年基金会黄浦区分会,丽园路466号,31.20803,121.48255,上海市黄浦区丽园路466号,310101,中国,上海市,上海市,黄浦区,丽园路
中国老龄事业发展基金会华英健康产业基金管委会,建国西路566-568号,31.20305,121.45034,上海市徐汇区建国西路566-568号,310104,中国,上海市,上海市,徐汇区,建国西路
上海市慈善基金会-联合之路专项基金,,31.20899,121.43372,上海市长宁区华山路,310105,中国,上海市,上海市,长宁区,华山路
中国老龄事业发展基金会上海办事处,,31.15927,121.41969,上海市徐汇区桂林路,310104,中国,上海市,上海市,徐汇区,桂林路
中华环境保护基金会上海代表处,,31.19269,121.42021,上海市长宁区中山西路,310105,中国,上海市,上海市,长宁区,中山西路
上海市慈善基金会和基金,漕溪北路398号,31.18782,121.43631,上海市徐汇区漕溪北路398号,310104,中国,上海市,上海市,徐汇区,漕溪北路
上海市儿童健康基金会孤独症治疗帮困专项基金,普育西路105号,31.21097,121.49551,上海市黄浦区普育东路普育西路105号,310101,中国,上海市,上海市,黄浦区,普育东路
上海市慈善基金会闸北区分会,秣陵路80号,31.24739,121.45836,上海市闸北区秣陵路80号,310108,中国,上海市,上海市,闸北区,秣陵路
上海市慈善基金会徐汇区分会,漕宝路80号,31.16773,121.42902,上海市徐汇区漕宝路80号,310104,中国,上海市,上海市,徐汇区,漕宝路
